Saint John Community Center,0,14320 Kercheval St Detroit  MI 48215 ,38-3390375,NA,NA,313-824-2248,Human Service,Non profit organization,to provide food and shelter for the homeless of Detroit,NA,Photo save,NA,313-823-8323,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pages/St-John-Congregational-Church/113458992021930,NA,NA,NA,27/2/2018
CENTRO MULTICULTURAL LA FAMILIA INC,0,35 W Huron Suite 500 Pontiac  MI 48342 USA,20-8900737,sacosta@centromulticultural.org,www.centromulticultural.org,248-858-7800,Human Service,We are a private  not-for-profit  mission-driven organization that provides comprehensive services to a diverse community. While most of the clients we serve now are of Hispanic descent  we strive to offer services to a broader cultural community.,To provide culturally competent support services to families in a holistic approach in order to improve their quality of life,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/centromulticultural,Centro Multicultural La Familia does not have any upcoming events.,NA,NA,27/2/2018
Urban Neighborhood Initiatives Inc,0,8300 LONGWORTH ST DETROIT   MI 48209 ,38-3417161,NA,WWW.DNIDETROIT.ORG,313-841-4447,Human Service,ONI ENGAGES IN COMPREHENSIVE ACTION TO ADDRESS HUMAN AND COMMUNITY DEVELOPMENT. INDIVIDUALS AND  FAMILIES ARE ENTHUSED AS THEY PROSPER AND BECOME ENCOURAGED TO INVEST IN THEIR HOMES AND COMMUNITIES.,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,27/2/2018
First Ward Community Service,0,1410 N 12TH STREET SAGINAW  MI 48601 ,38-1367311,cdalton@firstward.us,WWW.FIRSTWARD.US,989-753-0411,Human Service,First Ward Community Service a 501 (c) 3  non-profit organization is celebrating its 85th year in the Saginaw community. We are so excited to reach this milestone and celebrate all of its accomplishments throughout these 85 years.,THE MISSION OF FIRST WARD COMMUNITY SERVICE IS TO POSITIVELY INFLUENCE THE LIVES OF PEOPLE IN OUR COMMUNITY  BY FOCUSING ON LOW-MODERATE INCOME FAMILIES AND SENIORS. WE ADDRESS SOCIAL AND BEHAVIORAL NEEDS TO CHANGE THE ENVIRONMENT. WE PROVIDE PREVENTION EDUCATION AND RECREATION  WHICH IMPROVES QUALITY OF LIFE AND PROMOTES HEALTHY LIVING. OUR MISSION IS FUNDED THROUGH FUND DEVELOPMENT  FOUNDATIONS  INDIVIDUALS  FEDERAL  STATE AND LOCAL FINANCIAL INSTITUTIONS AND SPECIAL EVENTS. THE KEY TO OUR SUCCESS IS COLLABORATING WITH COMMUNITY PARTNERS TO OPTIMIZE PROGRAMS.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/FirstWard1410/about/?ref=page_internal,First Ward Community Service does not have any upcoming events.,NA,NA,27/2/2018
Beatrice & Reymont Paul Foundation,0,5912 Shillingham Dr W Bloomfield   MI 48322 ,20-1279991,team@paulfoundation.org,WWW.PAULFOUNDATION.ORG,NA,Human Service,The Beatrice and Reymont Paul Foundation was established in 2004. The Foundation brings people and resources together in the areas of medicine  education  community and culture. Our mission is to provide economic and strategic support along with consultancy to organizations.,To provide economic and strategic support along with consultancy to organizations. We believe this type of partnership is an essential role of philanthropy and a critical element for the sustainability of the organizations we support. We bring people and resources together to create the extraordinary!,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/Beatrice-Reymont-PAUL-Foundation-1886263684954332/,NA,NA,NA,27/2/2018
My Beloved Group Home,0,24260 RADCLIFT ST OAK PARK   MI 48237 ,35-2401568,mybelovedhome@aol.com,www.mybelovedgrouphome.com,248-470-0063,Human Service,My Beloved Group Home is a non-profit organization that prides itself on serving a diverse community of individuals.  Our goal is to encompass supervised quality care with independence.  We work in conjunction with physicians  case managers  family/friends  and most of all the client. ,TO PROVIDE A STABLE AND SAFE ENVIRONMENT FOR THOSE CONSUMERS WHO DESIRE TO LIVE INDEPENDENTLY BUT REQUIRE SUPERVISION TO PROVIDE SERVICES TO THE MENTALLY ILL  DEVELOPMENTALLY HANDICAPPED  ALZEIMERSVICTIMS. THIS ENVIRONMENT WILL HELP PROMOTE PHYSICAL  EMOTIONAL AND SOCIAL SKILL.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/My-Beloved-Group-Home-877678008975966/,NA,NA,NA,27/2/2018
Lifelong Advocacy Inc,0,43970 N GRATIOT AVE CLINTON TWP   MI 48036 ,45-2856633,dwitherow@lifelongadvocacy.org,WWW.LIFELONGADVOCACY.ORG,586-846-2457,Human Service,LifeLong ADVOCACY is a 501c3 non-profit agency serving as a 3rd party billing agency that processes payroll for consumers who participate in the Self-Determination program. By doing so at a high and efficient level  we like to think that we enrich the lives of the population that we serve.,TO PROVIDE FISCAL INTERMEDIARY SERVICES FOR INDIVIDUALS WITH DEVELOPMENTAL DISABILITIES WITHIN THE PARAMETERS OF STATE AND FEDERAL LAWS AND REGULATIONS.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,There are no events scheduled during this period.,NA,NA,27/2/2018
Hudsonville Christian School,0,3435 Oak St Hudsonville  MI 49426 ,38-1474930,NA,WWW.HCS.HUDSONVILLE.MI.US,616-669-6689,Housing and Shelters,Non profit Organization,TO PROVIDE A CHRISTIAN GRADE SCHOOL EDUCATION FOR THOSE DESIRING IT IN HUDSONVILLE  MI AND SURROUNDING AREAS.,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,23/3/2018,
CSI Support and Development Services,0,8425 E. 12 Mile Road  Ste. 100 Warren  MI 48093 ,20-1935580,monica.keiffer@csi.coop,www.csi.coop,NA,Housing and Shelters,A mission-driven non-profit providing affordable rental communities for seniors.,TO PROVIDE HOUSING FACILITIES FOR LOW INCOME SENIOR CITIZENS.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/csisupport?fref=ts,CSI Support & Development does not have any upcoming events.,NA,NA,23/3/2018,
Life Remodeled-a Nonprofit Corporation,0,Po Box 28508 Detroit  MI 48228 USA,27-5020487,info@liferemodeled.com,WWW.LIFEREMODELED.COM,313-744-3052,Housing and Shelters,Life Remodeled is a Detroit-based nonprofit that seeks to remodel lives along with neighborhoods  schools and homes. Our annual volunteer workforce of 10 000 comes from community organizations  churches  businesses and people who just care about Detroit. Every phase of our project is about people  those served and those who are serving. Relationships born of this approach create transformation and sustainable neighborhoods that are crucial to making Detroit???s revitalization permanent.,THE ORGANIZATION USES HOLISTIC STRATEGIES TO MAKE DRAMATIC AND IMMEDIATE IMPACT IN COMMUNITIES AND TO ESTABLISH FOUNDATIONS FOR LONG-TERM SUSTAINABLE GROWTH AND DEVELOPMENT.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/LifeRemodeled,Life Remodeled does not have any upcoming events.,NA,NA,23/3/2018,
Michigan Association of Realtors,0,720 N Washington Ave Lansing   MI 48906 ,38-0829980,NA,WWW.MIREALTORS.COM,517-372-8890,Housing and Shelters,NA,THE MICHIGAN ASSOCIATION OF REALTORS EXISTS TO SERVE ITS MEMBERS BY ADVANCING THE INTERESTS OF REAL ESTATE PROFESSIONALS AND PROMOTING PRIVATE PROPERTY RIGHTS. IT IS THE RECOGNIZED PUBLIC POLICY AND LEGAL ADVOCATE FOR PRIVATE PROPERTY RIGHTS FOR THE REAL ESTATE INDUSTRY AND THE RECOGNIZED STATEWIDE RESOURCE CLEARINGHOUSE FOR PROFESSIONAL DEVELOPMENT  KNOWLEDGE EXCHANGE AND BUSINESS SERVICES.,NA,Photo save,NA,800.454.7842,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,23/3/2018,
City Rescue Mission of Saginaw  Inc.,0,PO Box 548 Saginaw  MI 48606 ,38-1368362,kancel@r3monline.org,www.rescuesaginaw.org,989-752-6051,Housing and Shelters,Rescue Ministries of Mid Michigan includes the City Rescue Mission of Saginaw  the Good Samaritan Rescue Mission of Bay City  and the Community Village for Seniors. Our mission: Serving those in need with the love of Christ.,To glorify God by serving people in need  proclaiming the Gospel and establishing disciples among disadvantaged people.,NA,Photo save,1021 Burt St Saginaw  MI 48607 ,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/r3monline.org/,Hoops for the Homeless  Friday  April 13 at 5:30 PM - 8:30 PM EDT  1961 Delta Rd  University Center  Michigan 48710,NA,NA,23/3/2018,
Community Rebuilders,0,1120 MONROE AVE NW STE 220 GRAND RAPIDS   MI 49503 ,38-3094108,jking@communityrebuilders.org,WWW.COMMUNITYREBUILDERS.ORG,616-458-5102,Housing and Shelters,Community Rebuilders  founded in 1993 by Ron Eberhardt  is a non-profit agency dedicated to ending homelessness and creating safe affordable housing opportunities in Kent County.,REBUILDING HOPE THROUGH HOUSING OPPORTUNITIES FOR FAMILIES AND INDIVIDUALS WITH SUPPORT SERVICES DURING TRANSITIONS.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/CommunityRebuilders,Homeless Benefit for Michigan Veterans  Saturday  April 21 at 5 PM - 11:59 PM EDT  2327 Byron Center Ave Sw  Wyoming  Michigan 49519,NA,NA,23/3/2018,
Ahepa 371 Inc,0,26700 CROCKER BOULEVARD HARRISON TOWNSHIP  MI 48045 ,38-2742386,NA,www.ahepahousing.org,810-465-4540,Housing and Shelters,Our beautifully appointed senior affordable housing  opened in 1989  has 79 apartments situated within this community. AHEPA 371 Apartments is conveniently located within a five mile radius include: Lake St. Clair Metropark  shopping areas  restaurants  Tucker Senior Center  Dial-a-ride  and paved walking trails.,AHEPA 371  INC. IS A NOT-FOR-PROFIT CORPORATION FORMED IN ACCORDANCE WITH THE NOT-FOR-PROFIT STATUTES OF THE STATE OF MICHIGAN. THE CORPORATION WAS ORGANIZED TO OWN AND OPERATE A 79-UNIT APARTMENT COMMUNITY IN HARRISON TOWNSHIP  MICHIGAN  KNOWN AS AHEPA 371 APARTMENTS  PURSUANT TO SECTION 202 OF THE NATIONAL AFFORDABLE HOUSING ACT  AS AMENDED. THE SPONSOR OF THE CORPORATION IS AHEPA NATIONAL HOUSING CORPORATION.,NA,Photo save,10706 Sky Prairie St Fishers  Indiana,317-288-0797,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/ahepahousing?ref=hl,NA,NA,NA,23/3/2018,
Avalon Nonprofit Housing Corp.,0,1327 Jones Drive Suite 102 Ann Arbor  MI 48105 USA,38-3086920,info@avalonhousing.org,www.avalonhousing.org,734-663-5858,Housing and Shelters,Avalon Housing is a 501 (c)(3) nonprofit services provider  real estate developer and property manager. We own and manage 288 rental units in over 20 properties in Washtenaw County.  We provide support services to our tenants and to individuals and families living in public housing and in units owned by private landlords.  In total we serve more than 750 people  including 200 children.,Avalon Housings mission is to build safe  healthy and inclusive supportive housing communities as a long-term solution to homelessness. We serve over 750 people  including 200 children  in Washtenaw County  Michigan.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/sharer.php?u=http://www.avalonhousing.org/,NA,NA,NA,23/3/2018,
St Annes Mead,0,16106 W 12 Mile Rd Southfield  MI 48076 ,38-6058248,NA,WWW.STANNESMEAD.ORG,248-557-1221,Housing and Shelters,Since 1972  St. Annes Mead has earned a legacy of providing the highest quality care  with the personal touch  in assisted living  nursing care and memory care. Life enrichment programs including cultural  recreational and spiritual activities are at the heart of what we do.,TO PROVIDE HOUSING FOR SENIOR CITIZENS,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,23/3/2018,
Preservation Housing Partners,0,5184 IRON GATE RD BLOOMFLD HLS   MI 48304 ,20-3708317,NA,NA,248-933-8560,Housing and Shelters,Shopping & Retail Service,THE CORPORATION WAS FORMED ON OCTOBER 24  2005 UNDER SECTION 501(C)(3) OF THE INTERNAL REVENUE CODE. THE PURPOSE OF THE CORPORATION IS TO CREATE AND PRESERVE AFFORDABLE HOUSING THROUGH THE INVESTMENT  CONSTRUCTION OR ACQUISITION AND REHABILITATION OF MULTIFAMILY RESIDENTIAL REAL ESTATE FOR VERY LOW  LOW  AND MODERATE INCOME TENANTS. IN ADDITION  THE CORPORATION INVESTED IN TWO AFFORDABLE HOUSING COMMUNITIES WHOSE PROPERTY ALSO QUALIFIED FOR HISTORIC REHABILITATION TAX CREDITS IN ACCORDANCE WITH SECTION 47 OF THE IRC.,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pages/PHP-Pinewood/1648026002076886?rf=134408363776101,NA,NA,NA,23/3/2018,
Covenant House Michigan,0,2959 Martin Luther King Jr Blvd Detroit  MI 48208 USA,38-3351777,gpiro@covenanthouse.org,www.covenanthousemi.org,313-463-2000,Housing and Shelters,Covenant House Michigan has come to be known by Detroit area young people as a place they can go to build a better future and be treated with respect and unconditional love. Over 42 000 youth have been served by CHM since its inception in September  1997.,Covenant House Michigan is a sanctuary for young people who have nowhere to go. The kids who come to our doors have been abused and neglected  have slept on friends couches or in abandoned buildings. These kids have been forgotten by those who are supposed to care about them the most. When they come through our gates  they become part of a family. Our staff  volunteers and donors carry out our mission based on faith and the belief that all of Gods children deserve unconditional love  respect and hope. Our staff and volunteers step in as parents-encouraging  directing  and loving them. We encourage our young people to succeed  but give them a second (third  fourth  fifth...) chance when they dont make it right away. We help them take hold of their future by providing necessities like food and shelter and by offering tools for success such as education and job development. Help us paint a picture of hope for our kids.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/CovenantHouseMichigan,Covenant House Michigan does not have any upcoming events.,NA,NA,23/3/2018,
Mariners Inn,0,445 Ledyard Street Detroit  MI 48201 USA,38-2136488,svanevery@marinersinn.org,www.marinersinn.org,313-962-9446,Housing and Shelters,Mariners Inn was founded in 1925 by the Episcopal Diocese of Michigan and called the Detroit Protestant Episcopal City Mission Society  with its office headquartered at Mariners Church of Detroit. By 1934 a building on Griswold  owned by the Board of Trustees of Mariners Church  was refitted as an Inn where lodging  food and clothing were provided for the poor. For several decades the rector of Mariners Church also served as Superintendent of the Societys work. In 1955 the Griswold building was razed to make way for the Detroit Civic Center and Mariners Inn was moved to its current location at Cass and Ledyard. Mariners Inn is a nonprofit agency that has been providing shelter  substance abuse treatment  and transitional housing for Detroits homeless men since that time.,Mariners Inn serves as an anchor for those struggling to navigate the treacherous waters of homelessness and substance abuse through a wide range of social service programs that achieve the best possible outcomes for adults  families and youth affected by addiction.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,23/3/2018,
Northpointe Woods,0,700 NORTH AVENUE BATTLE CREEK  MI 49017 ,38-3370058,NA,www.northpointewoods.org,269-964-7625,Housing and Shelters,People who are drawn to NorthPointe Woods know that the most important things in life are the ones you cannot put a price on ... independence  privacy  comfort and peace of mind. NorthPointe Woods offers you all of that and more. NorthPointe Woods is conveniently located adjacent to Kellogg Community College  and near Battle Creek Health System  a pharmacy  grocery store and restaurants.,We will be the unquestioned  preeminent senior living community serving the Battle Creek area.,NA,Photo save,NA,269-580-8414,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/700NorthPointe,NA,NA,NA,23/3/2018,
Midland Kings Daughters Home of Michigan,0,2410 RODD ST MIDLAND   MI 48640 ,38-1547021,NA,WWW.MIDLANDKDH.ORG,989-839-9800,Housing and Shelters,Live a full life ??? active  comfortable and cared for  in the beautiful King???s Daughters Home. Our assisted living and nursing services offer peace of mind that your needs will always be met. And our staff is committed to providing that consistent care to you  just as they are to providing the warm  personal attention you deserve as a resident.,THE MIDLAND KINGS DAUGHTERS ENDOWMENT FUND SUPPORTS CONTINUING OPERATIONS AND MAINTENANCE OF THE MIDLAND KINGS DAUGHTERS HOME WHICH PROVIDES ASSISTED LIVING AND NURSING CARE SERVICES.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pages/Midland-Kings-Daughters-Home/135316486517632,NA,NA,NA,23/3/2018,
Macomb County Habitat for Humanity,0,34950 Little Mack Avenue Clinton Township  MI 48035 USA,38-3135471,dtirsell@macombhabitat.org,www.macombhabitat.org,586-263-1540,Housing and Shelters,A non-profit organization that provides low-income  working families an opportunity to purchase a safe  decent affordable home to raise their families in.,Habitat for Humanity is a nonprofit  ecumenical Christian housing ministry dedicated to eliminating substandard housing and homelessness worldwide and to making adequate  affordable shelter a matter of conscience and action. Habitat invites people from all faiths and walks of life to work together in partnership  building houses with families in need. Macomb County Habitat is responsible for all activities within Macomb County  Michigan.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/HabitatMacomb,CEO Build  Thursday  May 24 at 9 AM - 4 PM EDT,Home-in-One Golf Classic  Friday  June 8 at 10 AM - 5 PM EDT  67500 Mound Rd  Washington  Michigan 48095,NA,23/3/2018,
Oakland Housing Inc,0,950 E Maple Rd Ste 200 Birmingham   MI 48009 ,38-0888880,NA,NA,248-647-4882,Housing and Shelters,Oakland Housing is a non-profit corporation dedicated to providing homes to families whose income level would otherwise restrict their ability to own such a home and who would gain a substantial benefit from participation in the Oakland Housing assistance program. Oakland Housing carries out its mission by building neighborhood communities in the greater Detroit Metropolitan area. The projects seek to make a positive social impact  even at a higher risk of failure.,HOUSING ASSISTANCE FOR MIDDLE INCOME FAMILIES,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/OHhousingprogram/about/?ref=page_internal,NA,NA,NA,23/3/2018,
Lourdes Assisted Living Corporation,0,2300 Watkins Lake Rd Waterford  MI 48328 ,38-3431154,NA,WWW.LOURDESSENIORCOMMUNITY.ORG,248-674-2241,Housing and Shelters,In 1948 the Dominican Sisters of Oxford began caring for the elderly in their previous motherhouse nestled along the shores of Scott Lake ??? a stunning location reflecting the beauty of Gods creation. Today  more than 60 years later  Lourdes Senior Community  a non-profit  continuing care retirement community  has grown into a neighborhood of 250 seniors living in four distinct residences: Fox Manor on the Lake independent living  Mendelson Home assisted living  Clausen Manor for those living with memory loss  and Lourdes Rehabilitation and Healthcare Center for long-term and short-term care.,LOURDES SENIOR COMMUNITY  INSPIRED BY THE GOSPEL OF JESUS AND SPONSORED BY THE DOMINICAN SISTERS OF PEACE  PROVIDES A BROAD CONTINUUM OF CARE FOR SENIORS AND THEIR FAMILIES. ALL WHO ADMINISTER AT LOURDES HONOR THE UNIQUENESS OF EACH PERSON WITH COMPASSION  LOVE  RESPECT AND DIGNITY.,NA,Photo save,NA,248.673.1720,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/LourdesSeniorCommunity/,Lourdes Senior Community does not have any upcoming events.,NA,NA,23/3/2018,
Wyndham,0,2400 Portage St  Kalamazoo  MI 49001 ,38-2872875,NA,WWW.HERITAGECOMMUNITY.COM,269-382-1255,Housing and Shelters,A not-for-profit organization led by a local volunteer board of directors  we manage our resources in accordance with our mission  and our longstanding values are reflected in our governance and management. We measure success in terms of achieving high standards of excellence in service  and continually strive to ensure that all residents are proud to call our community home.,Since our establishment in 1945  Heritage Community has nurtured a passion for providing the seniors & families of West Michigan with exemplary personalized care. Organized as a nonprofit on principles of honor  community and meaningful living  we understand your desire to continue enjoying life fully. Thats why at Heritage Community we offer different branches of care  tailored to your tastes and needs. Here  you decides what suits you best. Our dedicated staff ensures that whatever your choice  youll find freedom  ease and peace of mind in the coming seasons. Welcome to Heritage Community of Kalamazoo. Local Roots. Vibrant Senior Living.,VOLUNTEERS COME TO HERITAGE FOR MANY REASONS AND IN A VARIETY OF WAYS...Students who are looking to gain experience and knowledge  Family members or residents who are looking to give back  Young adults who simply want to serve Retirees who have talents to share and time to give  From helping in activities like Art and Soul or chair volleyball  to being a one-to-one companion  playing music  providing religious opportunities  our volunteers do it all!  They truly are at the center of the life enrichment we provide for our residents and we couldnt do it without them.,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/heritagecommunitykzoo?fref=ts,Heritage Community of Kalamazoo does not have any upcoming events.,NA,NA,23/3/2018,
All Ways Care Inc,0,36355 MAIN ST NEW BALTIMORE  MI 48047 ,20-3840240,bosborne@all-ways-care.com,WWW.ALL-WAYS-CARE.COM,586-716-5329,Housing and Shelters,All-Ways Care Services is an agency that provides care for a variety of individuals.  We maintain contracts through Macomb  Oakland & St. Clair County Community Mental Health Departments.  Our clients range in age from young children into late adulthood and the level of disability ranges from the severely disabled to the very high functioning.  The disabilities these individuals live with include  but are not limited to  Autism  Downs Syndrome  Pervasive Development Disorder  Bi-Polar Disease and many more.,TO PROVIDE ACTIVITIES DESIGNED TO ENCOURAGE THE DEVELOPMENT AND MAINTENANCE OF PERSONAL LIVING SKILLS SOCIAL AND RECREATIONAL SKILLS FOR COGNITIVELY AND PHYSICALLY IMPAIRED AND/OR AUTISTIC ADULTS AND CHILDREN. THE ORGANIZATION ALSO PROVIDES HOME ASSISTANCE FOR SENIOR CITIZENS TO REMAIN IN THEIR HOMES.,NA,Photo save,51123 Washington St.  New Baltimore  MI 48047,586-725-6574,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,23/3/2018,
Metro Community Development Inc,0,503 S SAGINAW ST STE 804 FLINT  MI 48502 ,38-3072010,NA,WWW.METRO-COMMUNITY.ORG,810-767-4622,Housing and Shelters,Nonprofit Organization,TO SERVE AS A LEADER AND CATALYST TO EXPAND AND ENHANCE QUALITY HOUSING AND COMMUNITY DEVELOPMENT INITIATIVES FOR UNDERSERVED PEOPLE AND COMMUNITIES AND TO DEVELOP PARTNERSHIPS IN FLINT AND GENESEE COUNTY  LEADING TO THE CREATION OF STABLE AND VIBRANT NEIGHBORHOODS AND COMMUNITIES.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/metrocommunitydevelopment,Metro Community Development does not have any upcoming events.,NA,NA,23/3/2018,
DAVIDS HOUSE MINISTRIES,0,2390 BANNER DR SW WYOMING   MI 49509 ,38-2927999,NA,www.dhmin.org,616-247-7861,Housing and Shelters,Who we are is defined by what we do and who we serve. Who we are is not only important to our Board of Directors and staff but also to each resident and their family. Extending God???s love and care to individuals with special needs is what our ministry exists to do.,DAVIDS HOUSE EXISTS TO PROVIDE QUALITY CARE AND FACILITIES FOR DEVELOPMENTALLY DISABLED AND TRAUMATIC BRAIN INJURED ADULTS. BEING ENABLED BY GOD  WE STRIVE TO PROVIDE AN INTENTIONAL CHRISTIAN ENVIRONMENT AND PROGRAM MINISTERING TO THE WHOLE PERSON. DEPENDENT ON GOD  WE UNITE WITH FAMILY MEMBERS  OUR COMMUNITY  CHURCHES  BUSINESSES AND INTERESTED INDIVIDUALS IN FULFILLING OUR MISSION.,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/sharer.php?u=http%3A%2F%2Fwww.dhmin.org%2Fcontact-us%2F&t=Contact%20Us,NA,NA,NA,23/3/2018,
Jas Non Profit Housing Corporation Vi,0,15000 WEST TEN MILE ROAD OAK PARK  MI 48237 ,38-3487987,rfein@jslmi.org,WWW.JSLMI.ORG,248-967-4240,Housing and Shelters,Jewish Senior Life is an organization  which has served the Jewish community of metropolitan Detroit for nearly a century. Today  this premier agency for older adults provides residences  programs and services for older adults  helping them age with dignity  whether they remain independent in their own homes or find a need for a new communal residence that provides support and community in a dynamic and engaging way.,JEWISH SENIOR LIFE OF METROPOLITAN DETROIT IS DEDICATED TO ENHANCING THE QUALITY OF LIFE FOR OLDER ADULTS OF THE METROPOLITAN DETROIT JEWISH COMMUNITY THROUGH THE PROVISION OF PERSONALIZED HIGH QUALITY PROGRAMS AND SERVICES THAT SUPPORT THE AGING WITH DIGNITY AND CHOICE  TO MAXIMIZE INDEPENDENCE AND EMBRACE JEWISH VALUES.,Your gift can make a real difference in the life of older adults. We are grateful for all donations  from the very smallest to the very largest. It takes a community to nurture a soul.,Photo save,6710 WEST MAPLE ROAD WEST BLOOMFIELD  MI 48322 ,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,Jsl Foundation does not have any upcoming events.,NA,NA,23/3/2018,
Michigan  Habitat for Humanity of,0,618 S Creyts Rd Ste C Lansing  MI 48917 USA,38-3142455,spearson@habitatmichigan.org,www.habitatmichigan.org,517-485-1006,Housing and Shelters,Michigan is one of Habitat for Humanity???s most active states in the nation. We partner with the Habitat for Humanity affiliates in Michigan to reach the maximum sustainable capacity of their individual communities by supporting the further development of their leadership  procedures and resources.,Located in Lansing  Michigan  Habitat for Humanity of Michigans mission is to increase the capacity of Habitat for Humanity Affiliates in Michigan to build and rehab simple decent homes in partnership with people in need. Our organization was established in 1993 to provide services to the 73 local affiliates serving nearly every county in Michigan. The services we provide to our affiliates include educational and training opportunities  consultation on board development and other board related issues  administration of grants to the affiliates received from the Michigan State Housing Development Authority  Federal Home Loan Bank and various corporate and private gifts and grants  fundraising efforts for housing production and creation of statewide public awareness of the need for decent affordable housing and how Habitat can meet that need.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/HabitatMichigan,Habitat for Humanity of Michigan does not have any upcoming events.,NA,NA,23/3/2018,
Mht Housing Nonprofit Housing Corporation,0,32600 TELEGRAPH ROAD BINGHAM FARMS  MI 48025 ,38-3253745,NA,WWW.MHTHOUSING.ORG,248-833-0500,Housing and Shelters,MHT Housing  Inc. is a non-profit 501c3  developer of affordable housing established in 1990 for the purpose of preserving and creating high-quality affordable housing. Its twenty-five year commitment to building apartment communities that enhance and revitalize neighborhoods has resulted in the development of nearly 6 000 units within the Low-Income Housing Tax Credit Program. ,TO PROVIDE LOW-INCOME HOUSING AND TO PROVIDE SOCIAL  RECREATIONAL AND COMMUNAL FACILITIES NECESSARY TO SERVE AND IMPROVE LOW-INCOME RESIDENTIAL AREAS.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,23/3/2018,
Community Connections Inc,0,26200 LAHSER RD STE 300 SOUTHFIELD  MI 48033 ,80-0954076,NA,www.pvm.org,248-281-2030,Housing and Shelters,Presbyterian Villages of Michigan (PVM) is a leader in quality senior living  housing and services.,The mission of Presbyterian Villages of Michigan  guided by our Christian heritage  is to serve older adults of all faiths and to create new possibilities for quality senior living.,Your gift will help provide financial assistance to seniors who have outlived their resources  so they are always able to call PVM their home. Benevolence also supports residents who have an emergency financial need including  food  prescription assistance  utility bills and so much more. This fund supports the areas of greatest need throughout the organization and gives PVM the flexibility to address immediate needs as they arise.,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/presbyterianvillagesmi,Presbyterian Villages of Michigan does not have any upcoming events.,NA,NA,23/3/2018,
TRAVELERS AID SOCIETY OF METROPOLITAN DETROIT,0,65 Cadillac Square Suite 3000 Detroit  MI 48226 USA,38-1358052,info@tASMD.ORG,www.tasmd.org,313-962-6740,Housing and Shelters,Founded in 1923  Traveler???s Aid began as a supportive service to immigrants to the United States.  Our legacy continues to this day providing help to Detroits homeless and transient populations.,Our agency provides leading human services that sustain  attract and inspire confidence and excellence in all the people who work with us  are served by us  or know us.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,23/3/2018,
