organization_name,parent_id,address,tax_id,Email,web_url,phone,cause,about_us,our_activity,why_us,Photos,address1,phone2,irs_rank,fb_url,event1,event2,event3,submission_date
Tau Beta Pi Michigan Alpha Chapter Michigan State University,0,5050 ANTHONY WAYNE DR DETROIT, MI 48202,23-7050983,engadmissions@wayne.edu,www.egr.msu.edu/tbp/links.html,313-577-3780,Education,Tau Beta Pi is the national engineering honor society,The Wayne State University College of Engineering improves quality of life through engineering and computer science education, research innovation and entrepreneurship,These state-of-the-art facilities, combined with cutting-edge research and strong academics, have allowed the college to become a key player in Michigan???s transition from a manufacturing economy to a strong, effective and diversified high tech global marketplace,Photo save,NA,NA,This organization is required to file an IRS Form 990-N,https://www.facebook.com/WayneStateEng/,Wayne State University College of Engineering does not have any upcoming events,NA,NA,NA
The Ark Association - Detroit,0,"PO BOX 13280 DETROIT , MI 48213",02-0795267,butlerklodian@hotmail.com,www.thearkassociation.org,313-460-2709,Youth Development,Nonprofit Organization,"Our organization's mission is dedicated to developing programs to assist people from the community with physical, mental, financial and addictive challenges in becoming more productive members of society through direct assistance, referrals, advocacy and public awareness. ","There are many needs out on the streets; however, just a penny a day will help prepare a meal which makes all the difference to a hungry person. When that person is nourished, he or she is able to think about more than the immediate need of eating. This allows the individual the ability to take the next step toward the door of opportunity. Your donation allows us to be your ambassadors on the street with a message of hope for new beginnings and a a brighter tomorrow.",Photo save,"4270 E. Outer Drive Detroit, Michigan 48213-3289",NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/people/The-Ark-Association/48807408829,EVERY SATURDAY TAKIN' IT TO THE STREETS Outreach to our friends who are homeless! We meet at 1:45 p.m. at Roosevelt Park in Detroit located at Michigan Avenue & W. Vernor Hwy just in front of the Michigan Central Train Depot,"The 10th ANNUAL DANIEL DOYLE MEMORIAL RUN SEPTEMBER 24TH MARK YOUR CALENDARS NOW!!! PRIZES, AWARDS, AND LUNCH JOIN US FOR THIS FUN RUN THROUGH THE CITY STREETS OF DETROIT AND ALONG THE RIVER! Proceeds will go to the Daniel Doyle Community Resource Center.",NA,NA
Trillium House,0,"PO BOX 7115 MARQUETTE, MI 49855 ",46-3943193,NA,WWW.TRILLIUMHOUSE.ORG,906-264-5026,Human Service,"A facility that provides a loving, home-like environment for those in the last weeks and months of life.",TO BUILD AND SUPPORT A FACILITY TO PROVIDE TERMIALLY ILL PEOPLE A SAFE AND SUPPORTIVE LIVING ENVIRONMENT,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://business.facebook.com/pg/trilliumhouse/about/?ref=page_internal,Trillium House does not have any upcoming events.,NA,NA,03/12/2018,
Poverty and Social Reform Institute DBA Leaps and Bounds Family Services,0,"8129 Packard Warren, MI 48089 USA",38-2854143,ddorsz@leapsnbounds.org,www.leapsnbounds.org,586-759-3895,Human Service,Welcome to our website. Leaps and Bounds Family Services is a non-profit agency dedicated to improving the lives of children and adults. We provide education programs and services that support families and help children reach their potential and become productive citizens.,"Leaps & Bounds Family Services offers programs through Early Learning Community Training (Licensed Day Care providers or friend or family aid), after-school programs, summer camp, Home visitation (parents with youth 0-5), and Play and Learn Groups.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/leapsnboundsfamilyservices/about/,"30th Anniversary Fundraising Dinner, Thursday, May 3 at 6 PM - 9 PM EDT, 8129 Packard Ave, Warren, Michigan 48089","Great Start To Quality Orientation, Friday, March 23 at 9 AM - 5 PM EDT, 8129 Packard Ave, Warren, Michigan 48089","PIWI Group, 12:30PM, Mar 22, 2018, 31741 Cyril Ave, Fraser, MI 48026-2600, United States",03/12/2018,
Midland Kiwanis Foundation,0,"PO Box 2251 Midland, MI 48641 ",38-6063042,NA,WWW.MIDLANDKIWANIS.ORG,989-636-1608,Human Service,The Kiwanis Club of Midland was chartered in July 1921. It was the 18th Kiwanis Club in Michigan.,TO PROVIDE FUNDS FOR CHARITABLE CAUSES AND PROMOTE SCHOLARSHIPS IN THE MIDLAND COUNTY AREA,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,"Club Meeting-Community Services Committee, Monday, March 19, 2018 6:00 PM - Monday, March 19, 2018 7:30 PM","Club Meeting-STEM Committee, Monday, March 26, 2018 6:00 PM - Monday, March 26, 2018 7:30 PM",NA,03/12/2018,
Individual Empowerment Inc,0,"27719 RONEY AVE BROWNSTWN TWP, MI 48183 ",46-2144230,NA,NA,734-782-4689,Human Service,Non profit organization,TO PROVIDE VOCATIONAL AND RESIDENTIAL SERVICES AND SUPPORTS TO ADULTS WITH DEVELOPMENTAL DISABILITIES THAT PROMTES INDEPENDENCE WITHIN THEIR COMMUNITIES.,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
P A L S Inc,0,"6500 N INKSTER RD DEARBORN HTS , MI 48127 ",38-1976859,staff@palsprograms.org,www.palsprograms.org,202-630-5858,Human Service,"Our programs provide a place for individuals with Down syndrome and their peers to try new experiences, gain independence, and build lasting friendships.","PALS creates immersive experiences where young adults with Down syndrome and their peers have fun, grow in independence, and build transformative friendships. Our work takes place through week-long sleepaway camps throughout the summer, weekend adventure trips in the off-season, and the continuous growth of The Congratulations Project, an initiative where our campers write letters to new parents of babies with Down syndrome.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/palsprograms/about/?ref=page_internal,PALS does not have any upcoming events.,NA,NA,03/12/2018,
Harrington House Incorporated,0,"294 N MORSE ST SANDUSKY, MI 48471 ",38-2703562,NA,NA,810-648-3044,Human Service,Non profit organization,TO ESTABLISH AND SUSTAIN A CARING,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
Coleman Foundation,0,"313 S CHURCH ST HUDSON , MI 49247 ",38-1813631,NA,NA,517-448-3101,Human Service,"The Coleman Foundation is a Non-Profit organization serving developmentally disabled adults for over 75 years. Located in Hudson, MI","TO PROVIDE RESIDENTIAL CARE, EDUCATION AND RECREATION FOR MENTALLY AND PHYSICALLY HANDICAPPED INDIVIDUALS.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/thecolemanfoundation/about/?ref=page_internal,NA,NA,NA,03/12/2018,
Sunrise Side Senior Services,0,"PO BOX 36 OMER , MI 48749 ",38-2213493,NA,NA,989-653-2692,Human Service,Non profit organization,"TO ASSIST WITH THE HEALTH AND WELL BEING, OF PERSONS AGE 60 YEARS AND OVER, BY PROVIDING NUTRITIONAL, HOMEMAKING, AND PERSONAL CARE SERVICES IN THE ARENAC COUNTY, MI AREA.",NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
New Genesis Inc,0,"1225 W PATERSON ST KALAMAZOO , MI 49007 ",38-2338855,NA,WWW.NEWGENESISINC.ORG,269-343-7023,Human Service,"New Genesis is about equipping, empowering and encouraging our youth and their families today for a better tomorrow.","New Genesis, Inc. is committed to positively impacting lives in Southwest Michigan. New Genesis is a youth and family services organization whose mission is to transform lives through programs and services that effectively meet expressed community goals in practical ways.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/newgenesiskalamazoo,NA,NA,NA,03/12/2018,
Northwestern Michigan Child & Family Services Fund,0,"3785 Veterans Dr Traverse City, MI 49684 ",38-2393955,NA,www.cfsnwmi.org,231-946-8975,Human Service,"A 501(c)(3) nonprofit organization that provides temporary and permanent families for children through foster care and adoption, counseling services for all life's challenges, education and prevention programs, and advocacy for child and family welfare issues.","We strive to ensure the safety and well being of children, youth, adults, and families in times of crisis, challenge, and life transition.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/cfsnwmi,Child and Family Services of Northwestern Michigan does not have any upcoming events.,NA,NA,03/12/2018,
Communities Overcoming Violent Encounters Inc,0,"906 E LUDINGTON AVE LUDINGTON , MI 49431",38-2243550,NA,WWW.CALLCOVE.COM,231-843-2541,Human Service,"Communities Overcoming Violent Encounters (COVE) is an independent, non-profit 501 (c) 3 corporation serving victims of domestic violence and sexual assault in Mason, Lake, and Oceana counties.","COVE is so fortunate to be a part of such a giving community. We receive community donations ranging from clothing of all sizes and styles, toys, shoes, backpacks, back to school supplies, books, personal heath care products and much more. COVE hosts a Tuesday night client group , dinner is provided, and we have topic discussions relating to trauma and abuse or just general conversation. Our groups also actively volunteer for COVE. Group hosts an annual art auction, help with fundraisers and domestic violence and sexual assault awareness walks.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/callcove/,COVE (Communities Overcoming Violent Encounters) does not have any upcoming events.,NA,NA,03/12/2018,
LAHC- Leaders Advancing and Helping Communities,0,"835 Mason St. Suite A-160 Dearborn, MI 48124 USA",38-3081799,info@lahc.org,www.lahc.org,313-846-8480,Human Service,"The LAHC is a 501 (c) (3) non-profit organization. The mission of the LAHC is to promote the educational, cultural, health and social affairs of the community. The LAHC serves as an institution dedicated to enhancing community relations through the implementation of a multitude of programs geared to serve children, young adults, seniors and families which include educational scholarships, humanitarian relief efforts, health education, and youth leadership and training.","The LAHC is dedicated to providing quality events, programs and projects and through the economic downturn, we have remained steadfast in accomplishing our goals and fulfilling our vision to further our initiatives and increase our activities to meet the needs of the communities we serve. Our commitment and love for the residents of our great State has allowed for us to continue moving forward and our organization has been able to grow to become one of America???s most prestigious and well respected organizations; and is not only nationally, but internationally recognized for its success and achievements.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/LAHC.MI,"LAHC 30th Annual Awards Gala, Thursday, April 19 at 6 PM - 9 PM EDT, 835 Mason St, Ste A-160, Dearborn, Michigan 48124",NA,NA,03/12/2018,
Flint YMCA Foundation,0,"411 E 3RD ST FLINT , MI 48503 ",38-3260315,NA,WWW.FLINTYMCA.ORG/FOUNDATION.ASP,810-232-9622,Human Service,"In 1879 some interested citizens started ???Y??? programs in Flint. On December 16, 1913 the Kearsley Street building was opened. The total cost was $111,426. C.S. Mott was elected the first Board President. It was the culmination of the most successful and greatest community efforts in the history of Flint ??? greatest because never before was so much money raised in Flint for a single organization.","The YMCA is more than a fitness and program facility. It is a place where families can spend quality time together, where children can learn caring, respect, honesty, and responsibility, and a place where strong kids, strong families, and strong communities are built.",NA,Photo save,"5219 W. Pierson Road Flushing, MI 48433",810-732-9622,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/FlintYMCA/,"YMCA Swim-A-Thon, Wednesday, March 14 at 5 AM - 10 PM EDT, YMCA of Greater Flint",NA,NA,03/12/2018,
W I S E Crisis Hotline Inc,0,"713 OSCEOLA AVE BIG RAPIDS, MI 49307 ",38-2536680,NA,WWW.WISEAGAINSTVIOLENCE.ORG,231-796-6692,Human Service,"Women???s Information Service Inc. (WISE) is a nonprofit serving Mecosta, Osceola and Newaygo Counties by providing crisis intervention and support services to survivors of domestic and sexual violence.","WISE PROVIDES ADVOCATY, SAFETY OPTIONS AND SUPPORT SERVICES TO SURVIVORS OF DOMESTIC VIOLENCE AND ADULT SEXUAL ASSAULT. WISE EMPOWERS INDIVIDUALS AND FAMILIES THROUGH RESPECT AND EQUALITY AND WORKS TOWARDS STRENGTHENING OUR COMMUNITIES THROUGH AWARENESS, PREVENTION, AND EDUCATION.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/wiseagainstviolence/about/?ref=page_internal,"Save the Date ??? Golf Outing 2018, July 18, 2018 at Spring Valley Golf Course in Reed City.",NA,NA,03/12/2018,
Love Inc of Allendale,0,"PO BOX 131 ALLENDALE, MI 49401 ",38-2623774,info@allendalelove.org,WWW.ALLENDALELOVE.ORG,616-895-5683,Human Service,"Love In the Name of Christ of Allendale is a network of Allendale, Coopersville, and Surrounding area churches helping local residents in need. We are the link between churches, service agencies and local individuals or families to assist with meeting financial, physical, emotional or spiritual needs. We continue to work with local churches, schools and local service organizations to address needs, fill gaps and help people who are struggling financially, emotionally or spiritually. ","Love INC of Allendale has many ministries to help people in need including: medical equipment library, baby and food pantry, transportation, clothing, counseling, work search and addiction help, as well as bedding and a furniture ministry. Another ministry is the New to You Store that offers clothing, furniture and other household items at a very low cost while providing revenue for the ministry.",NA,Photo save,6633 Lake Michigan Drive,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/AllendaleLoveINC?ref=hl,Love INC of Allendale does not have any upcoming events.,NA,NA,03/12/2018,
Play Learn & Grow Inc,0,"311 GERMANIA BAY CITY, MI 48706 ",47-1548274,NA,www.riversedgelearningtree.com,989-324-0525,Human Service,High quality child care and preschool services for children 2 weeks old to 12 years old,TO PROVIDE QUALITY CHILD CARE AND PRESCHOOL SERVICES TO THE COMMUNITY.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/riversedgelearningtree/about/?ref=page_internal,NA,NA,NA,03/12/2018,
Japan Business Society of Detroit,0,"42400 GRAND RIVER AVE STE 202 NOVI, MI 48375 ",38-2065682,jbsdmich@jbsd.org,WWW.JBSD.ORG,248-513-6354,Human Service,Non profit organization,"TO PROVIDE SERVICES AND SUPPORT TO THE CORPORATION'S MEMBERS AND OTHERS IN THE BUSINESS AND SURROUNDING LOCAL COMMUNITIES, AND TO SUPPORT AND PROVIDE NETWORKING AND EDUCATIONAL OPPORTUNITIES WITHIN THESE COMMUNITIES.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
International Institute of Metropolitan Detroit Inc,0,"111 East Kirby Street Detroit, MI 48202 USA",38-1358200,wojciech517@yahoo.com,www.iimd.org,313-871-8600,Human Service,"The International Institute was founded in 1919, by a group of YWCA volunteers, who wanted to assist new legal immigrants to become U.S. citizens, learn English, learn the American way of life, appreciate freedom and democracy, find housing and jobs, and make a positive contribution to their new communities. It was also a goal to preserve the culture and heritage of the native countries - the language, food, music, costumes, literature, art, and crafts, and to share this culture and heritage with the Metro Detroit community.","The International Institute is dedicated to working with foreign-born and with all Americans in the constant task of solving social problems, acculturation, education and acceptance. It provides and utilizes human and physical resources to advance the welfare and the integration of the foreign-born and their relatives; foster community awareness that varied cultures contribute to the richness of American life; and serve other organizations in the areas of its competence.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/iimdetroit/about/?ref=page_internal,NA,NA,NA,03/12/2018,
Cc Advising Inc,0,"703 WASHINGTON AVE STE 200 BAY CITY, MI 48708 ",27-4608416,support@ccadvising.com,WWW.CCADVISING.COM,989-402-5161,Human Service,CC Advising is a nonprofit credit counseling agency and we also provide the 1st pre-filing course to individuals who may be seeking to file for bankruptcy.,"ORGANIZED FOR CHARITABLE PURPOSES TO PROVIDE PROFESSIONAL CREDIT COUNSELING TO PEOPLE NEEDING ASSISTANCE IN THE MANAGEMENT OF THEIR PERSONAL FINANCES, BUDGETING, AND IN THE SENSIBLE USE OF CREDIT.",NA,Photo save,NA,855-980-6690,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/ccadvising/about/,NA,NA,NA,03/12/2018,
Arc Muskegonm,0,"601 TERRACE ST MUSKEGON, MI 49440 ",38-1586705,NA,WWW.ARCMUSKEGON.ORG,231-777-2006,Human Service,"The Arc is and always has been about people ??? people with intellectual and developmental disabilities, parents, friends, family and professionals. In 1952, a group of concerned families and their friends formed an organization they called, ???Family and Friends of the Mentally Retarded???. In 1953 they joined the National Association for Retarded Citizens and became a local chapter. This movement grew and is now known as The Arc, no longer an acronym by eliminating the word ???Retarded???. The Arc Muskegon continues to be proudly affiliated with the state and national organization. There are 780 local chapters, with 34 of them in the state of Michigan.","THE ARC MUSKEGON' S MISSION IS TO PROVIDE ADVOCACY, EDUCATION AND SUPPORT SERVICES TO PEOPLE WITH INTELLECTUAL AND DEVELOPMENTAL DISABILITIES AND THEIR FAMILIES AND ACT IVELY SUPPORT THEIR FULL INCLUSION, EQUALITY AND PARTICIPATION IN THEIR COMMUNITY THROUGHOUT THEIR LIVES.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/arc.muskegon.9,"March Community Calendar, March 1 @ 8:00 am - March 31 @ 5:00 pm, ","Self-Advocacy Conference, April 19 @ 9:00 am - 2:30 pm","25th Annual Arc Open Golf Event!, June 1 @ 8:00 am - 1:30 pm",03/12/2018,
Community Action Network,0,"PO Box 130076 Ann Arbor, MI 48113 ",38-2792610,canetwork@juno.com,www.canannarbor.org,734-994-2985,Human Service,"CAN offers educational opportunities to children and youth, supportive housing stabilization services for adults and families, and positive community building activities for neighborhoods. CAN operates four community centers and currently works with individuals and households living in 365 public housing units managed by the Ann Arbor Housing Commission and an additional 265 households in the Bryant Neighborhood.","Community Action Network partners with children, youth and families from under-resourced Washtenaw County neighborhoods to create better futures for themselves and to improve the communities in which they live.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/canannarbor,Community Action Network (CAN) of Ann Arbor does not have any upcoming events.,NA,NA,03/12/2018,
Thrift Shop Association of Ann Arbor,0,"3500 WASHTENAW AVENUE ROOM K ANN ARBOR, MI 48104 ",38-6099708,NA,www.annarborthriftshop.org,734-662-6771,Human Service,"We are a non-profit 501c3 organization, run entirely by volunteer-members, operating continuously since 1932.","We provide emergency social service aid through the sale of donated gently used clothing, housewares and other items. Our 300-plus members accept, sort, price and sell thousands of donated goods in our retail shop each month.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/annarborthriftshop/,Ann Arbor Thrift Shop does not have any upcoming events.,NA,NA,03/12/2018,
Northwest Michigan Supportive Housing,0,"250 E FRONT ST STE 320 TRAVERSE CITY , MI 49684 ",38-2807457,contact@nmshousing.org,WWW.NMSHOUSING.ORG,231-929-1309,Human Service,"Northwest Michigan Supportive Housing ??? NMSH (Originally the Foundation for Mental Health) was founded in 1987 by individuals who recognized a need for permanent, stable, supportive housing in the mental health community in the Grand Traverse Area. Since then, NMSH has grown exponentially and now serves over 80 clients, and is awarded 7 federal and state grant contracts annually to house individuals with mental illness. ","NMSH uses a scattered-site method to successfully house roughly 80 clients within a 5-county area (Grand Traverse, Leelanau, Benzie, Antrim and Kalkaska). With the assistance of state and federal subsidies from the U.S. Department of Housing and Urban Development (HUD) and the Michigan State Housing Development Authority (MSHDA), NMSH has operated since 1987 and is the largest provider of supportive housing in Northwest Michigan.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/nmshousing/,"Drive for Dignity Golf Outing 2018, Saturday, June 2 at 10 AM - 6 PM EDT, 250 E Front St, Ste 320, Traverse City, Michigan 49684",NA,NA,03/12/2018,
Chaldean American Ladies of Charity,0,"2033 Austin Dr Troy, MI 48083 USA",38-2336363,zasmar@calconline.org,www.calconline.org,248-528-0130,Human Service,"The Chaldean people of today are descendants of the ancient Babylonian civilization. These Ancient Babylonians were the rst civilization to: invent the wheel; discover how to make glass; discover astronomy; use a writing system; invent the yearly calendar, composed of 360 days and 12 months; and use weights and measures, which were standardized in Babylon around 2,500 B.C. Chaldeans speak a dialect of Aramaic, the language spoken by Jesus Christ and the oldest continuously spoken language in the world. Chaldeans are Eastern Rite Catholic and united with the Roman Catholic Church.","CALC has grown from an all volunteer agency into a large organization providing a vast array of services and programs through a quali ed staff, board, members and volunteers. In 2016, the Board adopted the expanded name of UNITED COMMUNITY FAMILY SERVICES to better deliver the message of an organization supporting the community and families in the tri-county area. UCFS moved into its own facility in 2014 and worked to renovate the site to provide administrative of ces, training space and a large Basic Needs Center and Food Panty to support the needs of its clients. UCFS continues to move forward supporting refugee and immigrant families, the poor and homeless as it provides critical services to ensure self-suf ciency, healthy life styles and continued growth of the vulnerable and underserved.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/ucfamilyservices/,United Community Family Services/CALC does not have any upcoming events.,NA,NA,03/12/2018,
Monroe Senior Citizens Center Inc,0,"15275 S DIXIE HWY MONROE, MI 48161 ",38-1679755,NA,WWW.MONROECTR.ORG,734-241-0404,Human Service,The Monroe Center is funded in part by the Monroe County Senior Millage and is in the top 1% in the country by being Nationally Accredited by the National Institute of Senior Centers and the National Council on Aging!,"At the Monroe Center, our mission is to lead in information and assistance for quality lifestyles and healthy aging! We truly believe in the involvement of mind, body, and spirit in life to remain vital and independent. We will continue to offer the support programs and information to assist you in any way we can.","Various volunteer opportunities are available: Assistance with special events, Bingo workers, Database input, Dining room assistance, Friendly visits or sunshine calls, Front Desk help, Greeter, Newsletter assembly, Quarterly Rummage & Bake, Sale, Set-Up, Clean-Up, Volunteer transportatios",Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pages/Monroe-MI/Monroe-Center-for-Healthy-Aging/338900654681,"Food Commodities, 19th March 2018, 9:00 Movin??? & Groovin??? ","Food Commodities, 19th March 2018, 10:00 Massages with Jean W.","Food Commodities, 19th March 2018, 10:00 Brain Aerobics ",03/12/2018,
Alcona County Commission On Aging,0,"PO BOX 218 LINCOLN, MI 48742 ",38-2028913,NA,WWW.ALCONASENIORS.COM,989-736-8879,Human Service,"For over twenty-five (25) years Crusecom call center has been servicing our clients with technologically advanced solutions exceeding their expectations and requirements. Operating under the philosophy that rural Michigan has the skills necessary to provide superior customer service at a more cost effective rate, Crusecom has grown from a handful of eager technicians to a leader in Michigan???s call center industry. Perhaps the most profound achievement Crusecom has made over the last decade hasn???t come in the form of financial success, but rather in seeing the realization of the benefits of a jobs initiative that began in 2002 with Crusecom???s relocation to Oscoda Michigan.","Crusecom strives to always exceed our clients??? expectations and requirements. As a call center service provider, we understand that our business is predicated upon the experience each caller has with each customer service representative.   By combining the industry???s most technologically advanced call handling systems with a skilled workforce, we are able to deploy quality customer care. Our goal is not only to ensure our clients remain profitable, but to create an experience with each caller that leaves them feeling satisfied.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/Crusecom,NA,NA,NA,03/12/2018,
Midwest Afc Homes,0,"21880 FARMINGTON RD FARMINGTON, MI 48336 ",11-3812004,NA,NA,NA,Human Service,Non profit organization,To provide a residential care services to adults with mental illness,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
Lifechoices Inc,0,"34024 W 8 MILE RD STE 101 FARMINGTON , MI 48335 ",27-2605174,marketing@evangelicalhomes.org,WWW.EVANGELICALHOMES.ORG,248-871-5024,Human Service,"A faith-based organization, called to provide quality care with compassion to our clients regardless of where they live.","Our transformation from a nursing home provider to a senior living and care provider is a result of dedicated staff, purposeful stewardship, innovative programs and unique residences. Our organization has positioned itself for a future filled with opportunities to serve an even greater number of individuals in a variety of ways, including an array of home-based services and programs.",You made a difference! You will continue to make a difference!,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/EHMSeniorSolutions/,NA,NA,NA,03/12/2018,
YWCA of Greater Flint,0,"801 S SAGINAW ST FLINT, MI 48502 ",38-1360597,info@ywcaflint.org,WWW.YWCAFLINT.ORG,810-238-7621,Human Service,"The YWCA is the oldest and largest multicultural women's organization in the world. Across the globe, we have more than 25 million members in 122 countries, including 2 million members in 300 local associations in the United States. More important than the numbers, is our mission to eliminate racism and empower women. We provide safe places for women and girls, build strong women leaders, and advocate for women's rights and civil rights in Congress.","24-hour crisis line provides trained advocates that are able to answer questions, provide information and referrals, assist survivor in accessing other YWCA services and begin the intake process for SafeHouse for those in need of safe shelter.","Volunteer Opportunities The Domestic Violence & Sexual Assault Services department recognizes the contribution that volunteers make to the success of our agency. With the assistance of dedicated volunteers, we are able to continue our mission of empowering women and their children in their efforts to live violence free. The YWCA utilizes volunteers in a variety of ways throughout our program areas, including SafeHouse, Victim Advocacy, Emergency Response Team and Administrative support. Volunteer Advocate positions are required to participate in a 40-hour training before providing direct services to our clients.",Photo save,NA,810-238-7233,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/ywcaflint/events/?ref=page_internal,YWCA of Greater Flint does not have any upcoming events.,NA,NA,03/12/2018,
Programs To Educate All Cyclists,0,"32 N WASHINGTON ST STE 1 YPSILANTI, MI 48197 ",75-3159584,NA,NA,NA,Human Service,PROGRAMS TO EDUCATE ALL CYCLISTS IS DEDICATED TO EMPOWERING INDIVIDUALS WITH DISABILITIES THROUGH CYCLING.,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
Caring House Inc,0,"1305 PROSPECT AVE IRON MOUNTAIN , MI 49801 ",38-2471981,NA,NA,906-774-1337,Human Service,TO PROMOTE A VIOLENCE FREE ATMOSPHERE FROM DOMESTIC AND SEXUAL VIOLENCE IN WHICH SURVIVORS CAN RECOGNIZE THEIR OPTIONS TO HAVE THE OPPORTUNITY TO CONTINUE LIVING VIOLENCE FREE AND REGAIN THEIR SENSE OF SELF-WORTH, TO EDUCATE AND RAISE AWARENESS WITHIN THE COMMUNITY THAT DOMESTIC AND SEXUAL VIOLENCE IS A PREVALENT PROBLEM, AND TO PROVIDE ON-GOING PREVENTION PROGRAMS FOR SURVIVORS OF DOMESTIC AND SEXUAL VIOLENCE.,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,NA,
Community Coordinated Child Care Association of the Upper Peninsula,0,"104 COLES DR STE F MARQUETTE, MI 49855 ",38-2531502,greatstarttoquality@ecic4kids.org,WWW.4C-UP.COM,906-228-3362,Human Service,Great Start to Quality is Michigan's quality rating and improvement system (QRIS) that supports early childhood programs and providers in their efforts to improve their programs. We also help Michigan families find and choose quality child care programs that meet their children's needs. ,"Great Start to Quality is made up of five categories of program quality indicators, aligned with Michigan's Early Childhood Standards of Quality for Infant and Toddler Programs and Early Childhood Standards of Quality for Prekindergarten. These program quality indicators are used to rate child care and preschool programs to ensure Michigan???s youngest children have high-quality early learning experiences. Great Start to Quality also offers local Resource Centers in each region. These Resource Centers are a part of Great Start to Quality System and help providers with training and families with their child care search.  The Michigan Department of Education - Office of Great Start is the lead agency with funding from the federal Child Care Development Block Grant.  The Early Childhood Investment Corporation, an independent and publicly-owned nonprofit organization, is directly responsible for the implementation of Great Start to Quality.",NA,Photo save,"8164 Executive Court, Suite A Lansing, Michigan",877-614-7328,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/greatstarttoquality/,NA,NA,NA,03/12/2018,
Arc of Western Wayne County Inc,0,"2257 S WAYNE RD WESTLAND , MI 48186 ",38-1555472,NA,WWW.THEARCWW.ORG,734-729-9100,Human Service,The Arc of Western Wayne County advocates for the rights and full participation of all children and adults withintellectual and developmental disabilities.,THE ARC OF WESTERN WAYNE COUNTY IS COMMITTED TO ADVOCATING FOR INCLUSION AND FULL PARTICIPATION OF CHILDREN AND ADULTS WITH INTELLECTUAL AND OTHER DEVELOPMENTAL DISABILITIES.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/thearcofwesternwaynecounty/,"Alzheimer???s Disease and People with Intellectual Disabilities, March 29 @ 6:30 pm - 8:30 pm,  10218 Arthur St. Livonia, MI 48150 United States ","After I???m Gone- Home & Community Based Services, April 12 @ 6:30 pm - 8:30 pm,  10218 Arthur St. Livonia, MI 48150 United States ","Getting the Most out of Mental Health Services, April 26 @ 6:30 pm - 8:30 pm,  10218 Arthur St. Livonia, MI 48150 United States ",03/12/2018,
